Ship_name,Cruise_line,Age,Tonnage,passengers,length,cabins,passenger_density,crew
Diamond,Princess,9,113,2674,9.51,13.37,42.26,124
Emerald,Princess,6,113,3782,9.51,15.57,29.88,120
Golden,Princess,12,108.865,2758,9.51,13,39.47,110
Grand,Princess,15,108.806,2600,9.51,13,41.85,111
Island,Princess,10,91.627,1974,9.64,9.87,46.42,90
Pacific,Princess,14,30.277,686,5.93,3.44,44.14,37
Regal,Princess,22,69.845,1590,8.03,7.95,43.93,70
Royal,Princess,29,44.348,1200,7.54,6,36.96,52
Saphire,Princess,9,113,2674,9.51,13.37,42.26,124
Sea,Princess,8,77.499,1950,8.56,9.75,39.74,90
Star,Princess,11,108.977,2602,9.51,13.01,41.88,120
Sun,Princess,18,77.499,1950,8.56,9.75,39.74,90
Tahitian,Princess,14,30.277,688,5.93,3.44,44.01,37
ExplorerII,Regent_Seven_Seas,27,12.5,394,4.36,0.88,31.73,15
Mariner,Regent_Seven_Seas,12,50,700,7.09,3.54,71.43,45
Navigator,Regent_Seven_Seas,14,33,490,5.6,2.45,67.35,32
PaulGauguin,Regent_Seven_Seas,16,19.2,320,5.13,1.6,60,21
Voyager,Regent_Seven_Seas,10,46,700,6.7,1.82,65.71,45
Adventure,Royal_Caribbean,12,138,3114,10.2,15.57,44.32,119
Brilliance,Royal_Caribbean,11,90.09,2501,9.62,10.5,36.02,85
Empress,Royal_Caribbean,23,48.563,2020,6.92,8,24.04,67
Enchantment,Royal_Caribbean,16,74.137,1950,9.16,9.75,38.02,76
Explorer,Royal_Caribbean,13,138,3114,10.2,15.57,44.32,118
Freedom,Royal_Caribbean,7,158,4370,11.12,18,36.16,136
Grandeur,Royal_Caribbean,17,74.137,1950,9.16,9.75,38.02,76
Independence,Royal_Caribbean,5,160,3634,11.12,18.17,44.03,136
Jewel,Royal_Caribbean,9,90.09,2501,9.62,10.94,36.02,87
Legend,Royal_Caribbean,18,70,1800,8.67,9,38.89,72
Liberty,Royal_Caribbean,6,158,4370,11.25,18,36.16,136
Majesty,Royal_Caribbean,21,73.941,2744,8.8,11.75,26.95,82
Mariner,Royal_Caribbean,10,138,3114,10.2,15.57,44.32,119
Monarch,Royal_Caribbean,22,73.941,2744,8.8,11.77,30.94,82
Navigator,Royal_Caribbean,11,138,3114,10.2,15.57,44.32,119
Oasis,Royal_Caribbean,4,220,5400,11.82,27,40.74,210
Radiance,Royal_Caribbean,12,90.09,2501,9.62,10.5,36.02,87
Rhapsody,Royal_Caribbean,16,78.491,2435,9.15,10,32.23,77
Serenade,Royal_Caribbean,10,90.09,2501,9.62,10.5,36.02,86
Sovreign,Royal_Caribbean,25,73.192,2852,8.8,11.38,25.66,81
Splendour,Royal_Caribbean,17,70,2076,8.67,9.02,33.72,72
Vision,Royal_Caribbean,15,78.491,2435,9.15,10,32.23,66
Voyager,Royal_Caribbean,14,138,3114,10.2,15.57,44.32,118
Legend,Seabourn,21,10,208,4.4,1.04,48.08,16
Pride,Seabourn,27,10,208,4.4,1.04,48.08,16
Spirit,Seabourn,24,10,208,4.4,1.04,48.08,16
Cloud,Silversea,19,16.8,296,5.14,1.48,56.76,21
Shadow,Silversea,13,25,382,5.97,1.94,65.45,30
Whisper,Silversea,12,25,388,5.97,1.94,64.43,29
Wind,Silversea,19,16.8,296,5.14,1.48,56.76,20
Aries,Star,22,3.341,66,2.8,0.33,50.62,6
Gemini,Star,21,19.093,800,5.37,4,23.87,47
Libra,Star,12,42,1480,7.13,7.4,28.38,68
Pisces,Star,24,40.053,1287,5.79,7.76,31.12,75
Taurus,Star,22,3.341,66,2.79,0.33,50.62,6
Virgo,Star,14,76.8,1960,8.79,9.67,39.18,120
Spirit,Windstar,25,5.35,158,4.4,0.74,33.86,9
Star,Windstar,27,5.35,167,4.4,0.74,32.04,9
Surf,Windstar,23,14.745,308,6.17,1.56,47.87,18
